,0,1,2
734,merampas,merampok,merancukan
735,merapuhkan,meratap,meratapi
736,merecoki,merekayasa,meremehkan
737,merendahkan,merengek,merengek-rengek
738,merenggut,merepotkan,meresahkan
739,meribut,meributkan,mericuhkan
740,meringis,meringkuk,meringkus
741,merintih,merisau,merisaukan
742,merobek,merobek-robek,merobohkan
743,merompak,merongrong,meronta
744,meronta-ronta,merosot,meruetkan
745,merugi,merugikan,merumahkan
746,merumitkan,merumpi,meruncing
747,merundung,merunyamkan,merusak
748,merusakkan,merusuh,merusuhi
749,merusuhkan,meruwetkan,mestinya
750,mesum,mewabah,meyikut
751,minder,minggat,minim
752,minta-minta,minus,miring
753,miris,miskin,mistis
754,misuh,modar,mogok
755,molor,monopoli,monoton
756,morat-marit,muak,mubazir
757,mucikari,mudharat,munafik
758,mundur,mungkar,mungkir
759,muntaber,muntah,muntahan
760,murahan,muram,murka
761,murtad,murung,musibah
762,muslihat,musnah,mustahil
763,musuh,musyrik,mutilas
764,mutilasi,naas,nafi
765,naga-naganya,naik turun,najis
766,nakal,nanar,narapidana
767,narkoba,narkotik,narkotika
768,narsis,narsisme,negatif
769,nekad,nekat,nekat-nekat
770,neko-neko,nelangsa,nepotisme
771,neraka,nestapa,ngacir
772,ngelantur,ngenes,ngeri
773,ngerumpi,ngeyel,ngilu
774,ngotot,ngoyo,nihil
775,nista,njelimet,no comment
776,nonkooperatif,nonproduktif,nonsens
777,norak,nyampah,nyelekit
778,nyerocos,nyinyir,obrak-abrik
779,obsesi,obsesif,obsolet
780,ocehan,ogah,ogah-ogahan
781,oknum,oleng,olok-olok
782,olok-olokan,ombang-ambing,omel
783,omelan,onak,onar
784,ongkang-ongkang,opium,oplosan
785,oportunis,ostentasi,otoriter
786,paceklik,padahal,padat
787,paedofil,pahit,pailit
788,paksa,paksa-paksa,paksaan
789,palak,paling banter,palsu
790,pamer,pamrih,pandemi
791,pandemik,pandir,panik
792,parah,paranoia,paranoid
793,parasit,pas-pasan,pasai
794,pasif,pasung,pasungan
795,payah,pecandu,pecat
796,pecundang,pedih,pedofil
797,pelabrakan,pelacur,pelacuran
798,pelaknatan,pelalai,pelalaian
799,pelambatan,pelampiasan,pelanggar
800,pelanggaran,pelecehan,peledak
801,peledakan,pelenyapan,pelik
802,pelit,pelonco,pelumpuhan
803,pelupa,pemabuk,pemadat
804,pemaksaan,pemalakan,pemalas
805,pemalsu,pemalsuan,pemandulan
806,pemarah,pemasungan,pembacokan
807,pembakar,pembakaran,pembalakan
808,pembalasan dendam,pembangkang,pembangkangan
809,pembantah,pembantahan,pembantaian
810,pembatalan,pembatasan,pembebanan
811,pembeberan,pembelengguan,pemberantakan
812,pemblokiran,pembobol,pembobolan
813,pembocoran,pembodohan,pembohong
814,pemboikotan,pembolos,pembolosan
815,pembombardiran,pemboros,pemborosan
816,pembunuh,pembunuh bayaran,pembunuhan
817,pemecah belah,pemecatan,pemerosotan
818,pemfitnah,pemforsiran,pemogok
819,pemogokan,pemojokan,pemrotes
820,pemrotesan,pemukulan,pemurtadan
821,pemusnahan,penabok,penabokan
822,penabrak,penabrakan,penakut
823,penalti,penampar,penamparan
824,penawanan,pencabulan,pencaci
825,pencaci maki,pencacimakian,pencaloan
826,pencambukan,pencaplok,pencaplokan
827,pencari kesalahan,pencari muka,pencatut
828,pencatutan,pencegatan,pencekalan
829,pencela,pencelaan,pencemar
830,pencemaran,pencerca,pencercaan
831,pencibir,pencibiran,pencomel
832,pencontek,pencontekan,pencopet
833,pencopetan,pencopotan,pencorengan
834,pencuci otak,pencuci uang,pencucian otak
835,pencucian uang,penculik,penculikan
836,pencuri,pencurian,pendakwaan
837,pendalangan,pendarahan,pendendam
838,pendengki,pendepakan,pendeportasian
839,penderita,pendesakan,pendiskriminasian
840,pendiskualifikasian,pendobrakan,pendoktrin
841,pendoktrinan,pendompleng,pendomplengan
842,pendosa,pendurhaka,pendurhakaan
843,pendusta,pendustaan,penebang
844,penebangan,penegatifan,penelanjangan
845,penelantaran,penembakan,penempeleng
846,penempelengan,penentang,penentangan
847,peneror,peneroran,pengabaian
848,pengacau,pengacauan,pengadu domba
849,pengaduan,pengangguran,pengebirian
850,pengebom,pengeboman,pengecam
851,pengecaman,pengecoh,pengecohan
852,pengecut,pengekangan,pengeksploitasi
853,pengeksploitasian,pengekspos,pengeksposan
854,pengelabuan,pengelakan,pengeluh
855,pengembar-gemboran,pengemis,pengemplang
856,pengeroyokan,penggandaan uang,pengganggu
857,pengganjalan,penggasak,penggasakan
858,penggdoran,penggembungan,penggerebekan
859,penggerogotan,penggerutu,penggorokan
860,penggosip,penggrebekan,penggugatan
861,penggulingan,penggusuran,penghalang
862,penghalang-halangan,penghancuran,penghancurleburan
863,penghasudan,penghasut,penghasutan
864,penghinaan,penghujat,penghujatan
865,pengibul,pengibulan,pengidap
866,pengingkaran,pengisolasian,pengkhianat
867,pengkhianatan,pengkritik,pengomel
868,pengotoran,pengucilan,pengumpat
869,pengumpatan,pengungkungan,pengunjuk rasa
870,penguntit,pengurungan,pengusik
871,pengusir,pengusiran,penikam
872,penikaman,penilap,penilapan
873,penilep,penilepan,penindas
874,penindasa,penindasan,peninju
875,penipu,penipuan,peniru
876,penistaan,penjajah,penjajahan
877,penjambret,penjambretan,penjarah
878,penjarahan,penjatuhan,penjegalan
879,penjudi,penodong,penodongan
880,penolakan,penonjok,penonjokan
881,pensomasian,penular,penularan
882,penumpukan,penundaan,penunggak
883,penunggakan,penusuk,penusukan
884,penyabotase,penyabotasean,penyadap
885,penyadapan,penyakit,penyakitan
886,penyalahan,penyalahartian,penyalahgunaan
887,penyamun,penyandera,penyanderaan
888,penyanggah,penyanggahan,penyangkal
889,penyangkalan,penyangsi,penyia-nyiaan
890,penyiksa,penyiksaan,penyikut
891,penyikutan,penyimpang,penyimpangan
892,penyindir,penyindiran,penyitaan
893,penyobekan,penyodomi,penyodomian
894,penyogok,penyogokan,penyombong
895,penyontekan,penyuap,penyuapan
896,penyulit,penyulitan,penyulut
897,penyumpahan,penyusahan,penyusutan
898,penzamiman,peracunan,peradangan
899,peragu,perampas,perampasan
900,perampok,perampokan,perancuan
901,peratapan,percaloan,percekcokan
902,percuma,perdebatan,perdukunan
903,peremehan,perenggutan,peretak
904,peretakan,pergi,pergolakan
905,pergunjingan,peribut,peributan
906,pericuh,pericuhan,perisauan
907,perjudian,perkelahian,perlambatan
908,permusuhan,perobekan,perobohan
909,perompak,perompakan,peroncean
910,perongrong,perongrongan,perpecahan
911,perpisahan,persabungan,persoalan
912,persoalkan,pertanggungjawaban,pertengkaran
913,pertentangan,pertikaian,pertumpahan darah
914,perusak,perusakan,perusuh
915,perusuhan,perzinaan,perzinahan
916,pesakitan,pezina,pezinah
917,picik,pidana,pilu
918,pincang,plagiarisme,plagiat
919,plagiator,plin-plan,plintat-plintut
920,polemik,politis,polusi
921,polutan,pongah,porak-poranda
922,porno,pornoaksi,pornografi
923,pornografis,porot,posesif
924,prahara,prasangka,prasangka buruk
925,prasejahtera,preman,pretensi
926,prihatin,primitif,problem
927,problematik,problematika,problematis
928,profan,profanitas,propaganda
929,prostitusi,protes,provokasi
930,provokatif,provokator,psikopat
931,psikotropika,pukul-memukul,pungli
932,pupus,pura-pura,pusing
933,puso,puyeng,rabies
934,rabun,racau,racun
935,radang,radikal,radikalisasi
936,radikalisme,ragu,ragu-ragu
937,raib,rajam,rakus
938,ramak,rampas,rampasan
939,rampok,rampokan,rancu
940,rapuh,rasis,rasisme
941,ratapan,rawan,rekayasa
942,remeh,rendah,rendahan
943,rengek,renggut,rentan
944,rentenir,reot,repot
945,resah,resek,resesi
946,residivis,restriktif,retak
947,retorsi,retrogresi,rewel
948,rezim,riba,ribut
949,ricuh,ringsek,rintih
950,rintihan,risau,risih
951,risiko,riskan,riya
952,roboh,rodi,rompak
953,ronce,rongrong,rongrongan
954,rongsok,rongsokan,ronta
955,rugi,rumit,rumpi
956,runtuh,runyam,rusak
957,rusuh,ruwet,sableng
958,sabotase,sabu-sabu,sabung
959,sadap,sadis,sadisme
960,sado masokis,sajen,sakit
961,sakit-sakitan,sakiti,salah
962,salah arti,salah artikan,salah guna
963,salah gunakan,salah-salah,samaran
964,sambit,sandera,sandewa
965,sandungan,sanggah,sanggahan
966,sangkaan,sangkal,sangkalan
967,sangsi,sanksi,santer
968,santet,sarkasme,sarkastik
969,sayangkan,scripted,sebaliknya
970,sebatas,secuil,sedih
971,seemosional,seenaknya,sefanatik
972,segelintir,seharusnya,sekehendak
973,sekptis,sembarang,sembunyi
974,sembunyi tangan,sengketa,sesuka hati
975,sesukanya,sesumbar,setengah-setengah
976,seterpuruk,sewenang-wenang,seyogyanya
977,sia-sia,sial,sialan
978,siksa,siksaan,sikut-menyikut
979,sikut-sikutan,silang segketa,siluman
980,simpang siur,sindikat,sindir
981,sindir-menyindir,sindiran,sinis
982,sinisme,sinting,sinyalir
983,sirik,sirikan,sita
984,sitaan,siwer,skandal
985,skeptis,skors,slebor
986,soak,sodomi,sogok
987,sogokan,somasi,sombong
988,songong,sontoloyo,spekulan
989,spekulasi,stagnan,stagnasi
990,statis,stres,striptis
991,stroke,suap,subjektif
992,subyektif,sudah padat,sudah penuh
993,suka-suka,sukar,sukarnya
994,sulit,sulitnya,sumpah serapah
995,sumpek,sundal,suram
996,surat kaleng,susah,susah hati
997,susahnya,susuk,suudon
998,suudzan,suudzon,suuzan
999,syahwat,syirik,syok
1000,syubhat,syur,tabok
1001,tabrakan,tabu,tagih
1002,tagihan,tahanan,tahi
1003,tak berkesudahan,tak punya biaya,takabur
1004,takhayul,takut,tamak
1005,tampar,tamparan,tandus
1006,tanggung,tangis,tangisan
1007,taruhan,tawan,tawanan
1008,tawuran,tedeng aling-aling,tega
1009,tegaan,tekanan,telantar
1010,telantarkan,telat,teler
1011,teluh,tembak,tembakan
1012,tempeleng,tempelengan,temperamen
1013,temperamental,tenggelam,tengik
1014,tengil,tengkulak,teperdaya
1015,terabaikan,teracun,teracuni
1016,teradu domba,terampas,terampok
1017,terancam,terancukan,terbakar
1018,terbalik,terbaring,terbata-bata
1019,terbatuk-batuk,terbebani,terbeberkan
1020,terbelenggu,terbelit,terbengkalai
1021,terbengong-bengong,terbentur,terblokir
1022,terbohongi,terboikot,terboros
1023,terbosan,terbujur kaku,terbunuh
1024,tercabik,tercabik-cabik,tercabul
1025,tercampakkan,tercederai,tercegat
1026,tercekal,tercekik,tercela
1027,tercemar,tercengeng,terceroboh
1028,tercongkak,tercopet,tercoreng
1029,tercoreng-moreng,tercurang,terdaif
1030,terdakwa,terdampar,terdamprat
1031,terdegradasi,terdepak,terdeportasi
1032,terdesak,terdhaif,terdhalim
1033,terdhalimi,terdholim,terdholimi
1034,terdiskriminasi,terdiskualifikasi,terdoktrin
1035,terdompleng,terdungu,terdurhaka
1036,terdurjana,terdzalim,terdzalimi
1037,teredan,teregois,tereksploitasi
1038,terekspos,terekstrem,terekstrim
1039,terengah-engah,terenggut,terfatal
1040,tergagap-gagap,terganggu,terganjal
1041,tergeletak,tergesa-gesa,tergopoh
1042,tergopoh-gpoh,terguncang,tergusur
1043,terhalang,terhambat,terhasut
1044,terheran-heran,terhina,teriakan
1045,teribut,tericuh,terinfeksi
1046,terinjak-injak,terisak,terisolasi
1047,terisolir,terjajah,terjerat
1048,terkapar,terkasar,terkatung-katung
1049,terkebiri,terkecoh,terkekang
1050,terkendala,terkibuli,terkontaminasi
1051,terkorup,terkorupsi,terkotor
1052,terkotori,terkoyak,terkucil
1053,terkulai,terkungkung,terkutuk
1054,terlalai,terlalaikan,terlalu
1055,terlalu murah,terlambat,terlampau
1056,terlanggar,terlantar,terlemah
1057,terlena,terletih,terlicik
1058,terloyo,terluka,terlunta
1059,terlunta-lunta,terlupa,termakan
1060,ternista,ternoda,ternodai
1061,terombang-ambing,teror,teroris
1062,terorisme,terpaksa,terpecah
1063,terpecah belah,terpecah-pecah,terpeleset
1064,terpengaruh,terperdaya,terpidana
1065,terpinggirkan,terpojok,terpojokkan
1066,terprovokasi,terpukul,terpuruk
1067,terputus,tersableng,tersabotase
1068,tersadis,tersaingi,tersakit
1069,tersakiti,tersalah,tersalahartikan
1070,tersalahgunakan,tersandera,tersandung
1071,tersangka,tersangsikan,tersantet
1072,tersayat,terserang,terseret
1073,tersesat,tersia-siakan,tersial
1074,tersiksa,tersikut,tersindir
1075,tersinggung,tersingkap,tersinis
1076,tersinting,tersisih,terslebor
1077,tersombong,terstagnan,terstres
1078,tersudut,tersukar,tersulit
1079,tersulut,tersumbat,tersumpek
1080,tersungkur,tersuntuk,tersuram
1081,tersusah,tertabrak,tertampar
1082,tertandus,tertangkap,tertatih-tatih
1083,tertembak,tertembus,tertikam
1084,tertindas,tertinggal,tertipu
1085,tertohok,tertolol,tertuduh
1086,tertular,tertulari,tertunda
1087,tertunduk,tertusuk,terusik
1088,terusir,terzalim,terzalimi
1089,tetek bengek,tewas,tewaskan
1090,tidak ada biaya,tidak ada uang,tidak akan tercatat
1091,tidak berdaya,tidak berkesudahan,tidak bernyawa
1092,tidak dapat dieksekusi,tidak hanya,tidak mungkin
1093,tidak pernah disebutkan,tidak punya dana,tifus
1094,tikam,tikam-menikam,tikaman
1095,tilap,tilep,timpang
1096,tindas,tipikor,tipu
1097,tipu tipuan,tiran,tirani
1098,tiru,tiruan,todong
1099,togel,tohok,tolol
1100,tornado,toyor,tragedi
1101,tragis,trauma,traumatis
1102,tremor,tsunami,tuak
1103,tuba,tubrukan,tuding
1104,tuding-menuding,tudingan,tuduh
1105,tuduh-menuduh,tuduhan,tumbal
1106,tumbang,tumpang tindih,tumpang-tindih
1107,tuna susila,tunasusila,tunggak
1108,tunggakan,tunggang langgang,tuntutan
1109,turun,tutup,tutup mata
1110,uang haram,udal-ugalan,udik
1111,ugal-ugalan,ujub,umbar
1112,umpat,umpatan,uneg-uneg
1113,unek-unek,unjuk rasa,untung-untungan
1114,urakan,urgent,uring-uringan
1115,urung,usang,usik
1116,usil,usir,utang
1117,vandal,vandalisme,vendeta
1118,virulen,virus,vulgar
1119,wabah,waduh,wanti-wanti
1120,was-was,waspada,waswas
1121,zalim,zina,zinah
1122,zionis,aduh,labil
1123,dunia gemerlap,asal jadi,hancur
1124,anjing,apa sih,sial
1125,asal bunyi,asam,asli tapi palsu
1126,asli tetapi palsu,asal tulis,tidak mau tahu
1127,awas,banyak bicara,balas
1128,nakal,basi,banci
1129,bosan,bingung,benci
1130,bohong,nekat,bodoh
1131,bubar,bubarkan,makelar
1132,capek,cari perhatian,cari muka
1133,jelek,tidak ada uang,tidak punya uang
1134,cegah tangkal,penakut,pendek
1135,ganja,tidak acuh,cuek
1136,culun,pencurian kendaraan bermotor,kekerasan
1137,dihancurkam,digosipkan,playboy
1138,emang gue pikirin,makan teman,cemburu
1139,gagap teknologi,gagal total,sangar
1140,tidak mau,tidak tahu,gelandangan
1141,pengemis,gila,gigi nongol
1142,gigi mancung,tidak jelas,goblok
1143,bahan peledak,hilang,mengeluh
1144,keluhan,tidak suka,jarang dibelai
1145,jaga image,tidak lucu,jijik
1146,galak,kabur,kacau
1147,terlanjur,keras kepala,mau tahu
1148,ketahuan,komunis,garing
1149,kurang pergaulan,imitasi,kecelakaan
1150,berlebihan,lemah,lawan
1151,bolos,macam-macam,suram
1152,gaji buta,memaksa,memalukan
1153,makelar kasus,minuman keras,malas
1154,mahal,melulu,pusing
1155,munafik,muntah,menangis
1156,narapidana,narkotika,alkohol
1157,psikotropika,adiktif,obat terlarang
1158,terlarang,tidak punya pekerjaan,marah
1159,terlambat,bicara sembarangan,sembarangan
1160,bandel,berkilah,bicara terus-terusan
1161,merampok,berbohong,iri
1162,ikut campur,bertumpuk,omomg doang
1163,out of topic,sampah,tuna susila
1164,penjahat kelamin,pelacur,lacur
1165,sodomi,miskin,ribet
1166,kriminal,salah tingkah,salah kostum
1167,sombong,sok tahu,sok
1168,rugi,telat berpikir,menyebalkan
1169,terkapar,pelanggaran,toto gelap
1170,tai,wanita pria,what the fuck
1171,what the hell,ya sudah,ck
1172,sial,nestapa,porno
1173,mengklaim,sulit,ribet
1174,norak,,
